,userCode,ticketCount,flightPriceGo,flightPriceReturn,flightDistance,travelDays,hotelDays,hotelPrice,combo,userStatus,userCompany,userName,gender,age,ageRange,flightPriceDiffer,flightPriceSum,flightPriceDistanceAvg,hotelPriceDayAvg,flightPriceDifferDistanceAvg,flightPriceDifferTicketAvg,flightPriceTicketAvg,comboFrequency,hotelStayDayAvg,userStatus01,hotelPriceDayAvgRange,flightPriceDifferTicketAvgRange,travelDaysRange
0,0,52,51614.0,48116.08,28026.44,129,39.0,9076.28,16,retained,4You,Roy Braun,male,21,"(20, 30]",-3497.9199999999983,99730.08,3.5584283983267233,232.72512820512821,-0.12480786000647955,-67.26769230769227,1917.8861538461538,0.3076923076923077,2.4375,0,"(200, 250]","(-100, 0]","(125, 150]"
1,1,5,3875.04,4183.6900000000005,2496.15,5,2.0,386.72,2,churned,4You,Joseph Holsten,male,37,"(30, 40]",308.65000000000055,8058.7300000000005,3.2284638343048293,193.36,0.1236504216493402,61.73000000000011,1611.746,0.4,1.0,1,"(150, 200]","(0, 100]","(0, 25]"
2,2,52,47779.93,45896.92,27242.91,141,42.0,8052.44,15,retained,4You,Wilma Mcinnis,female,48,"(40, 50]",-1883.010000000002,93676.85,3.4385772298186943,191.7247619047619,-0.06911926809580922,-36.21173076923081,1801.4778846153847,0.28846153846153844,2.8,0,"(150, 200]","(-100, 0]","(125, 150]"
3,3,52,48418.45,47954.19,25872.46,115,33.0,8082.12,15,retained,4You,Paula Daniel,female,23,"(20, 30]",-464.25999999999476,96372.64,3.724912126639678,244.91272727272727,-0.01794417693562942,-8.928076923076823,1853.32,0.28846153846153844,2.2,0,"(200, 250]","(-100, 0]","(100, 125]"
4,4,52,51739.36,48018.74,27764.89,127,30.0,6282.96,13,retained,4You,Patricia Carson,female,44,"(40, 50]",-3720.6200000000026,99758.1,3.592958589066984,209.432,-0.13400449272444453,-71.55038461538467,1918.4250000000002,0.25,2.3076923076923075,0,"(200, 250]","(-100, 0]","(125, 150]"
5,5,52,53265.63,51076.0,28148.37,128,21.0,4743.89,9,retained,4You,Trina Thomas,none,47,"(40, 50]",-2189.6299999999974,104341.63,3.706844481580994,225.89952380952383,-0.07778887374295554,-42.10826923076918,2006.5698076923077,0.17307692307692307,2.3333333333333335,0,"(200, 250]","(-100, 0]","(125, 150]"
6,6,52,45491.15,47217.44,24858.48,132,33.0,7042.69,13,retained,4You,Jesse Decelle,male,46,"(40, 50]",1726.2900000000009,92708.59,3.7294553005654407,213.41484848484848,0.0694447126292517,33.19788461538463,1782.8574999999998,0.25,2.5384615384615383,0,"(200, 250]","(0, 100]","(125, 150]"
7,7,51,45919.86,45006.08,22919.82,130,36.0,6563.26,14,churned,4You,Gregoria Gil,female,21,"(20, 30]",-913.7799999999988,90925.94,3.9671315045231594,182.3127777777778,-0.03986855045109424,-17.91725490196076,1782.861568627451,0.27450980392156865,2.5714285714285716,1,"(150, 200]","(-100, 0]","(125, 150]"
8,8,52,50880.840000000004,48534.76,25729.56,130,39.0,9082.18,16,retained,4You,Jack Sabo,none,41,"(40, 50]",-2346.0800000000017,99415.6,3.863867085173629,232.87641025641025,-0.09118228216883621,-45.11692307692311,1911.8384615384616,0.3076923076923077,2.4375,0,"(200, 250]","(-100, 0]","(125, 150]"
9,9,52,51408.59,49817.409999999996,27746.4,134,40.0,9013.55,14,retained,4You,Debbie Helms,none,35,"(30, 40]",-1591.1800000000003,101226.0,3.648257071187613,225.33874999999998,-0.05734725946429087,-30.59961538461539,1946.6538461538462,0.2692307692307692,2.857142857142857,0,"(200, 250]","(-100, 0]","(125, 150]"
